video_id,channel_title,category,publish_date,publish_hour,publish_day_of_week,trending_date,days_to_trend,views,likes,dislikes,comment_count,title_length,tags_count,like_ratio,comment_ratio,engagement_score
vid_00000,ESPN,Sports,2024-02-09,10,Friday,2024-02-12,3,4166143,399447,10016,54898,36,23,0.0959,0.0132,0.1091
vid_00001,Markiplier,Gaming,2023-02-21,10,Tuesday,2023-02-21,0,1790573,78855,15749,7139,50,27,0.044,0.004,0.048
vid_00002,The Young Turks,News & Politics,2023-08-18,13,Friday,2023-08-21,3,6367181,202811,54069,124086,25,29,0.0319,0.0195,0.0513
vid_00003,Veritasium,Education,2023-07-05,8,Wednesday,2023-07-06,1,2771567,136113,7346,16881,36,17,0.0491,0.0061,0.0552
vid_00004,Jubilee,Entertainment,2023-11-26,17,Sunday,2023-11-27,1,4247509,292547,27637,33771,40,17,0.0689,0.008,0.0768
vid_00005,Jubilee,Entertainment,2024-03-28,15,Thursday,2024-03-29,1,757401,32230,3254,6033,49,27,0.0426,0.008,0.0505
vid_00006,DramaAlert,Entertainment,2024-02-27,22,Tuesday,2024-02-27,0,11305416,542328,71582,132748,37,17,0.048,0.0117,0.0597
vid_00007,Bad Bunny,Music,2023-03-30,12,Thursday,2023-03-30,0,4173758,142661,10579,55628,34,24,0.0342,0.0133,0.0475
vid_00008,WWE,Sports,2024-02-03,8,Saturday,2024-02-03,0,1731708,158591,3633,18152,53,26,0.0916,0.0105,0.1021
vid_00009,Taylor Swift,Music,2023-05-06,3,Saturday,2023-05-07,1,3959362,295233,36362,14192,33,11,0.0746,0.0036,0.0782
vid_00010,Wendover Productions,Science & Tech,2024-04-23,11,Tuesday,2024-04-24,1,2317195,134522,13718,27438,83,9,0.0581,0.0118,0.0699
vid_00011,BTS HYBE,Music,2024-02-11,14,Sunday,2024-02-13,2,1882805,87808,15017,36682,76,16,0.0466,0.0195,0.0661
vid_00012,DramaAlert,Entertainment,2023-10-06,7,Friday,2023-10-10,4,6318843,239890,8890,40009,44,25,0.038,0.0063,0.0443
vid_00013,Vsauce,Entertainment,2023-11-22,12,Wednesday,2023-11-29,7,4014278,237965,13817,38567,57,22,0.0593,0.0096,0.0689
vid_00014,Smosh,Comedy,2024-01-07,7,Sunday,2024-01-08,1,1729408,95608,3922,21143,59,29,0.0553,0.0122,0.0675
vid_00015,CNN,News & Politics,2023-06-10,8,Saturday,2023-06-16,6,4193285,428544,41437,17894,58,21,0.1022,0.0043,0.1065
vid_00016,3Blue1Brown,Education,2024-05-13,19,Monday,2024-05-17,4,872779,26617,6425,14717,89,24,0.0305,0.0169,0.0474
vid_00017,Jubilee,Entertainment,2024-02-21,14,Wednesday,2024-02-26,5,5709343,545873,9514,91986,25,24,0.0956,0.0161,0.1117
vid_00018,Taylor Swift,Music,2023-03-03,12,Friday,2023-03-06,3,2555029,275123,10164,34738,55,6,0.1077,0.0136,0.1213
vid_00019,The Weeknd,Music,2024-06-01,6,Saturday,2024-06-04,3,3904259,139461,15330,32353,41,9,0.0357,0.0083,0.044
vid_00020,The Young Turks,News & Politics,2023-04-01,14,Saturday,2023-04-02,1,3448044,378764,7159,38023,52,22,0.1098,0.011,0.1209
vid_00021,TED-Ed,Education,2024-01-25,12,Thursday,2024-01-27,2,4439124,418130,26863,70730,81,21,0.0942,0.0159,0.1101
vid_00022,Jacksepticeye,Gaming,2023-05-03,12,Wednesday,2023-05-05,2,1943491,149738,2388,19956,53,5,0.077,0.0103,0.0873
vid_00023,MrBeast,Entertainment,2023-05-06,19,Saturday,2023-05-07,1,12237168,485940,82327,43249,90,12,0.0397,0.0035,0.0432
vid_00024,Drake VEVO,Music,2023-04-27,8,Thursday,2023-05-01,4,5380850,600938,25254,38946,85,12,0.1117,0.0072,0.1189
vid_00025,Veritasium,Education,2023-04-14,7,Friday,2023-04-15,1,305871,29975,517,2107,77,19,0.098,0.0069,0.1049
vid_00026,Smosh,Comedy,2024-01-03,22,Wednesday,2024-01-03,0,1309304,148832,8773,21915,68,30,0.1137,0.0167,0.1304
vid_00027,The Try Guys,Comedy,2023-04-15,14,Saturday,2023-04-16,1,1673446,181454,4483,27883,60,19,0.1084,0.0167,0.1251
vid_00028,Taylor Swift,Music,2023-08-30,18,Wednesday,2023-08-30,0,5403786,554804,20869,98530,26,7,0.1027,0.0182,0.1209
vid_00029,Marques Brownlee,Science & Tech,2023-04-01,14,Saturday,2023-04-05,4,2604491,103931,12616,17905,32,10,0.0399,0.0069,0.0468
vid_00030,Drake VEVO,Music,2023-05-25,17,Thursday,2023-05-25,0,6336547,194061,30141,74028,87,9,0.0306,0.0117,0.0423
vid_00031,DramaAlert,Entertainment,2024-06-12,15,Wednesday,2024-06-12,0,4312885,215599,17417,21727,65,6,0.05,0.005,0.055
vid_00032,Vsauce,Entertainment,2023-10-02,18,Monday,2023-10-02,0,3076320,235926,13144,45995,90,7,0.0767,0.015,0.0916
vid_00033,Smosh,Comedy,2023-11-21,16,Tuesday,2023-11-22,1,3453994,405707,11280,66874,56,23,0.1175,0.0194,0.1368
vid_00034,WWE,Sports,2023-02-14,15,Tuesday,2023-02-15,1,603265,33563,3912,2188,58,11,0.0556,0.0036,0.0593
vid_00035,MSNBC,News & Politics,2023-05-11,12,Thursday,2023-05-13,2,1762222,132591,6181,6828,83,15,0.0752,0.0039,0.0791
vid_00036,Linus Tech Tips,Science & Tech,2023-01-06,15,Friday,2023-01-13,7,1028840,44281,10155,11647,34,22,0.043,0.0113,0.0544
vid_00037,Jubilee,Entertainment,2023-03-14,12,Tuesday,2023-03-18,4,4454883,230696,34991,64267,72,14,0.0518,0.0144,0.0662
vid_00038,LazarBeam,Entertainment,2024-01-20,15,Saturday,2024-01-22,2,6590231,415846,44166,90610,26,26,0.0631,0.0137,0.0768
vid_00039,Dude Perfect,Comedy,2024-05-23,7,Thursday,2024-05-23,0,1207776,94471,10287,5477,39,8,0.0782,0.0045,0.0828
vid_00040,TED-Ed,Education,2023-05-29,15,Monday,2023-05-30,1,679115,22865,4820,8859,58,21,0.0337,0.013,0.0467
vid_00041,Markiplier,Gaming,2023-02-20,13,Monday,2023-02-20,0,1271387,40039,3863,14882,67,29,0.0315,0.0117,0.0432
vid_00042,Jubilee,Entertainment,2023-03-30,13,Thursday,2023-03-31,1,1496187,137925,14109,14325,26,8,0.0922,0.0096,0.1018
vid_00043,DramaAlert,Entertainment,2023-10-25,18,Wednesday,2023-10-27,2,5112236,216640,10333,44978,80,9,0.0424,0.0088,0.0512
vid_00044,Jubilee,Entertainment,2024-05-05,17,Sunday,2024-05-05,0,6709850,694804,38694,83459,70,11,0.1035,0.0124,0.116
vid_00045,CNN,News & Politics,2023-07-13,14,Thursday,2023-07-14,1,672398,34807,6101,3081,44,12,0.0518,0.0046,0.0563
vid_00046,The Try Guys,Comedy,2024-04-26,2,Friday,2024-05-01,5,3077744,186242,23186,27504,77,30,0.0605,0.0089,0.0694
vid_00047,BBC News,News & Politics,2023-05-26,17,Friday,2023-05-27,1,3364384,372571,26978,60829,29,20,0.1107,0.0181,0.1288
vid_00048,Drake VEVO,Music,2023-07-10,18,Monday,2023-07-10,0,2902052,129276,18741,53036,28,26,0.0445,0.0183,0.0628
vid_00049,Jubilee,Entertainment,2023-06-02,6,Friday,2023-06-02,0,4214647,129928,29382,19914,90,17,0.0308,0.0047,0.0356
vid_00050,The Young Turks,News & Politics,2023-06-30,3,Friday,2023-07-07,7,8007721,710096,59334,54553,47,23,0.0887,0.0068,0.0955
vid_00051,NikkieTutorials,Howto & Style,2023-01-21,15,Saturday,2023-01-23,2,1460919,75021,11275,12464,65,18,0.0514,0.0085,0.0599
vid_00052,WWE,Sports,2023-03-05,19,Sunday,2023-03-05,0,6051585,539711,11153,76620,80,5,0.0892,0.0127,0.1018
vid_00053,Dream,Gaming,2024-01-11,20,Thursday,2024-01-13,2,2782561,175564,8892,20892,71,18,0.0631,0.0075,0.0706
vid_00054,Jubilee,Entertainment,2023-12-07,16,Thursday,2023-12-09,2,3290638,362905,26829,45178,63,21,0.1103,0.0137,0.124
vid_00055,Drake VEVO,Music,2023-06-28,16,Wednesday,2023-06-28,0,6568986,494233,35687,84131,78,26,0.0752,0.0128,0.088
vid_00056,Tasty,Howto & Style,2023-12-03,11,Sunday,2023-12-07,4,1649601,91172,11232,5630,63,14,0.0553,0.0034,0.0587
vid_00057,LazarBeam,Entertainment,2023-11-28,11,Tuesday,2023-11-29,1,1763035,80993,16899,33476,52,21,0.0459,0.019,0.0649
vid_00058,Jacksepticeye,Gaming,2023-12-26,11,Tuesday,2023-12-28,2,1672596,52504,8118,31413,67,7,0.0314,0.0188,0.0502
vid_00059,The Try Guys,Comedy,2024-01-03,10,Wednesday,2024-01-03,0,4425977,517834,38404,85782,30,12,0.117,0.0194,0.1364
vid_00060,IGN,Film & Animation,2024-04-08,6,Monday,2024-04-12,4,1523754,162435,3848,12780,49,27,0.1066,0.0084,0.115
vid_00061,Vice News,News & Politics,2023-08-07,8,Monday,2023-08-07,0,535748,42919,3891,10133,38,29,0.0801,0.0189,0.099
vid_00062,Jacksepticeye,Gaming,2024-03-15,16,Friday,2024-03-15,0,986157,84169,2229,19556,56,8,0.0854,0.0198,0.1052
vid_00063,Ninja,Gaming,2023-12-31,22,Sunday,2024-01-01,1,2261723,173360,17340,40519,81,24,0.0766,0.0179,0.0946
vid_00064,CollegeHumor,Comedy,2023-08-22,19,Tuesday,2023-08-26,4,5946077,370762,49258,47515,85,19,0.0624,0.008,0.0703
vid_00065,BTS HYBE,Music,2024-04-03,11,Wednesday,2024-04-04,1,11617116,1195519,107100,206090,55,13,0.1029,0.0177,0.1207
vid_00066,Valkyrae,Gaming,2023-05-09,12,Tuesday,2023-05-10,1,3019784,307554,22097,42426,42,9,0.1018,0.014,0.1159
vid_00067,BTS HYBE,Music,2024-01-21,6,Sunday,2024-01-22,1,109030003,11079775,440694,1976723,84,18,0.1016,0.0181,0.1198
vid_00068,Vsauce,Entertainment,2023-08-01,17,Tuesday,2023-08-01,0,1886084,154744,9789,6810,73,20,0.082,0.0036,0.0857
vid_00069,Jubilee,Entertainment,2023-06-13,12,Tuesday,2023-06-19,6,2895935,228309,18295,22794,78,22,0.0788,0.0079,0.0867
vid_00070,3Blue1Brown,Education,2024-03-12,19,Tuesday,2024-03-12,0,1028313,42608,8154,12214,80,20,0.0414,0.0119,0.0533
vid_00071,Jubilee,Entertainment,2024-01-01,17,Monday,2024-01-01,0,8363888,413375,14788,113658,84,9,0.0494,0.0136,0.063
vid_00072,IGN,Film & Animation,2023-01-15,12,Sunday,2023-01-17,2,3111390,244733,23443,43050,35,25,0.0787,0.0138,0.0925
vid_00073,Ninja,Gaming,2023-04-10,10,Monday,2023-04-10,0,1187519,139921,4639,13985,66,15,0.1178,0.0118,0.1296
vid_00074,Veritasium,Education,2023-06-01,21,Thursday,2023-06-01,0,883411,61403,1084,3828,35,20,0.0695,0.0043,0.0738
vid_00075,LazarBeam,Entertainment,2023-01-29,21,Sunday,2023-01-31,2,6922033,807374,50280,119139,30,29,0.1166,0.0172,0.1338
vid_00076,DramaAlert,Entertainment,2023-04-19,2,Wednesday,2023-04-19,0,1339807,59057,7962,9719,85,26,0.0441,0.0073,0.0513
vid_00077,DramaAlert,Entertainment,2023-09-11,10,Monday,2023-09-11,0,2678245,252595,9425,38093,39,29,0.0943,0.0142,0.1085
